Year,Recruitment,RecruitmentAge,UnitOfRecruitment,StockSize,Bpa,Blim,MSYBtrigger,StockSizeDescription,StockSizeUnits,FishingPressure,Flim,Fpa,FMSY,FAge,FishingPressureDescription,AssessmentYear,Purpose,AssessmentComponent
2005, 7550,1,thousands, 4176,5800,4200,5800,SSB,tonnes,0.977,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2006, 7829,1,thousands, 5449,5800,4200,5800,SSB,tonnes,0.913,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2007, 5820,1,thousands, 6548,5800,4200,5800,SSB,tonnes,0.896,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2008, 2234,1,thousands, 6653,5800,4200,5800,SSB,tonnes,0.871,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2009, 5169,1,thousands, 5348,5800,4200,5800,SSB,tonnes,0.868,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2010,23612,1,thousands, 5355,5800,4200,5800,SSB,tonnes,0.849,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2011, 9013,1,thousands, 8953,5800,4200,5800,SSB,tonnes,0.852,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2012, 1726,1,thousands,13701,5800,4200,5800,SSB,tonnes,0.905,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2013, 2358,1,thousands,10080,5800,4200,5800,SSB,tonnes,0.950,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2014,11680,1,thousands, 6242,5800,4200,5800,SSB,tonnes,0.913,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2015, 1109,1,thousands, 6377,5800,4200,5800,SSB,tonnes,0.938,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2016, 2297,1,thousands, 5611,5800,4200,5800,SSB,tonnes,0.986,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2017,  706,1,thousands, 3102,5800,4200,5800,SSB,tonnes,1.108,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2018, 1279,1,thousands, 1673,5800,4200,5800,SSB,tonnes,1.145,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2019, 3271,1,thousands, 1077,5800,4200,5800,SSB,tonnes,1.137,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2020, 1066,1,thousands, 1274,5800,4200,5800,SSB,tonnes,1.064,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2021,  436,1,thousands, 1126,5800,4200,5800,SSB,tonnes,1.141,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2022,  871,1,thousands,  803,5800,4200,5800,SSB,tonnes,1.104,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2023,  102,1,thousands,  562,5800,4200,5800,SSB,tonnes,1.067,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2024,  101,1,thousands,  366,5800,4200,5800,SSB,tonnes,1.048,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2025,  871,1,thousands,  212,5800,4200,5800,SSB,tonnes,   NA,  NA,0.77,0.29,2-5,F,2025,Advice,NA
2005, 7830,1,thousands, 4241,5800,4200,5800,SSB,tonnes,1.017,1.13,0.77,0.29,2-5,F,2024,Advice,NA
2006, 8018,1,thousands, 5435,5800,4200,5800,SSB,tonnes,0.901,1.13,0.77,0.29,2-5,F,2024,Advice,NA
