Year;Publication date;Advice product;Ecoregion;Title;PDF location in old library;DOI
2021;17/12/2021;Aquaculture Overviews;Norwegian Sea;Norwegian Sea ecoregion – Aquaculture Overview;https://www.ices.dk/sites/pub/Publication%20Reports/Advice/2021/2021/AquacultureOverview_NorwegianSea_2021.pdf;https://doi.org/10.17895/ices.advice.9585
2019;12/12/2019;Ecosystem overviews;Azores;Azores ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/EcosystemOverview_Azores_2019.pdf;https://doi.org/10.17895/ices.advice.5753
2020;10/12/2020;Ecosystem overviews;Azores;Azores ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/EcosystemOverview_Azores_2020.pdf;https://doi.org/10.17895/ices.advice.7628
2021;09/12/2021;Ecosystem Overviews;Azores;Azores ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_Azores_2021.pdf;https://doi.org/10.17895/ices.advice.9433
2018;14/12/2018;Ecosystem overviews;Baltic Sea;Baltic Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/BalticSeaEcoregion_EcosystemOverview.pdf;https://doi.org/10.17895/ices.pub.4665
2019;12/12/2019;Ecosystem overviews;Baltic Sea;Baltic Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/EcosystemOverview_BalticSea_2019.pdf;https://doi.org/10.17895/ices.advice.5752
2020;10/12/2020;Ecosystem overviews;Baltic Sea;Baltic Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/EcosystemOverview_BalticSea_2020.pdf;https://doi.org/10.17895/ices.advice.7635
2021;09/12/2021;Ecosystem Overviews;Baltic Sea;Baltic Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_BalticSea_2021.pdf;https://doi.org/10.17895/ices.advice.9437
2016;04/03/2016;Ecosystem overviews;Barents Sea;Barents Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/Barents_Sea_Ecoregion-Ecosystem_overview.pdf;https://doi.org/10.17895/ices.advice.4912
2019;12/12/2019;Ecosystem overviews;Barents Sea;Barents Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/EcosystemOverview_BarentsSea_2019.pdf;https://doi.org/10.17895/ices.advice.5747
2021;09/12/2021;Ecosystem Overviews;Barents Sea;Barents Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_BarentsSea_2021.pdf;https://doi.org/10.17895/ices.advice.9438
2018;14/12/2018;Ecosystem overviews;Bay of Biscay and Iberian Coast ;Bay of Biscay and the Iberian Coast Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/BayofBiscayandtheIberianCoastEcoregion_EcosystemOverview.pdf;https://doi.org/10.17895/ices.pub.4666
