Stock codes;Year;Publication date;PDF location in old library system;DOI
agn.27.nea;2019;04/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/agn.27.nea.pdf;https://doi.org/10.17895/ices.advice.4826
alf.27.nea;2018;07/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/alf.27.nea.pdf;https://doi.org/10.17895/ices.pub.4394
alf.27.nea;2020;10/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/alf.27.nea.pdf;https://doi.org/10.17895/ices.advice.5823
ane.27.8;2017;08/12/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/ane.27.8.pdf;https://doi.org/10.17895/ices.pub.3707
ane.27.8;2018;10/12/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/ane.27.8.pdf;https://doi.org/10.17895/ices.pub.4650
ane.27.8;2019;13/12/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/ane.27.8.pdf;https://doi.org/10.17895/ices.advice.5544
ane.27.8;2020;18/12/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/ane.27.8.pdf;https://doi.org/10.17895/ices.advice.5899
ane.27.8;2021;17/12/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/ane.27.8.pdf;https://doi.org/10.17895/ices.advice.7721
ane.27.9a;2017;12/07/2017;https://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/ane.27.9a.pdf;https://doi.org/10.17895/ices.pub.3012
ane.27.9a;2018;18/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/ane.27.9a.pdf;https://doi.org/10.17895/ices.pub.4497
ane.27.9a;2018;13/07/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/ane.27.9a_2018.pdf;https://doi.org/10.17895/ices.advice.5366
ane.27.9a;2019;26/07/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/ane.27.9a.pdf;https://doi.org/10.17895/ices.advice.4852
ane.27.9a;2020;20/07/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/ane.27.9a.pdf;https://doi.org/10.17895/ices.advice.5930
ane.27.9a;2021;18/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/ane.27.9a.pdf;https://doi.org/10.17895/ices.advice.7722
anf.27.3a46;2017;31/10/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/anf.27.3a46.pdf;https://doi.org/10.17895/ices.pub.3404
anf.27.3a46;2018;31/10/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/anf.27.3a46.pdf;https://doi.org/10.17895/ices.pub.4588
anf.27.3a46;2019;31/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/anf.27.3a46.pdf;https://doi.org/10.17895/ices.advice.4778
anf.27.3a46;2020;30/10/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/anf.27.3a46.pdf;https://doi.org/10.17895/ices.advice.5926
anf.27.3a46;2021;29/10/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/anf.27.3a46.pdf;https://doi.org/10.17895/ices.advice.7723
ank.27.78abd;2018;29/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/ank.27.78abd.pdf;https://doi.org/10.17895/ices.pub.4474
ank.27.78abd;2019;24/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/ank.27.78abd.pdf;https://doi.org/10.17895/ices.advice.4755
ank.27.8c9a;2017;30/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/ank.27.8c9a.pdf;https://doi.org/10.17895/ices.pub.3014
ank.27.8c9a;2018;29/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/ank.27.8c9a_replaced.pdf;https://doi.org/10.17895/ices.pub.4462
ank.27.8c9a;2018;07/12/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/ank.27.8c9a.pdf;https://doi.org/10.17895/ices.pub.4649
ank.27.8c9a;2019;24/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/ank.27.8c9a.pdf;https://doi.org/10.17895/ices.advice.4756
ank.27.8c9a;2020;29/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/ank.27.8c9a.pdf;https://doi.org/10.17895/ices.advice.5923
ank.27.8c9a;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/ank.27.8c9a.pdf;https://doi.org/10.17895/ices.advice.7725
aru.27.123a4;2017;07/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/aru.27.123a4.pdf;https://doi.org/10.17895/ices.pub.3015
aru.27.123a4;2019;11/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/aru.27.123a4.pdf;https://doi.org/10.17895/ices.advice.4808
aru.27.123a4;2021;10/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/aru.27.123a4.pdf;https://doi.org/10.17895/ices.advice.7726
aru.27.5a14;2017;07/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/aru.27.5a14.pdf;https://doi.org/10.17895/ices.pub.3039
aru.27.5a14;2018;12/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/aru.27.5a14.pdf;https://doi.org/10.17895/ices.pub.4404
aru.27.5a14;2019;13/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/aru.27.5a14.pdf;https://doi.org/10.17895/ices.advice.4809
aru.27.5a14;2021;15/05/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/aru.27.5a14.pdf;https://doi.org/10.17895/ices.advice.7727
aru.27.5b6a;2017;07/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/aru.27.5b6a.pdf;https://doi.org/10.17895/ices.pub.3040
aru.27.5b6a;2019;11/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/aru.27.5b6a.pdf;https://doi.org/10.17895/ices.advice.4810
aru.27.5b6a;2021;10/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/aru.27.5b6a.pdf;https://doi.org/10.17895/ices.advice.7728
aru.27.6b7-1012;2017;07/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/aru.27.6b7-1012.pdf;https://doi.org/10.17895/ices.pub.3045
aru.27.6b7-1012;2019;11/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/aru.27.6b7-1012.pdf;https://doi.org/10.17895/ices.advice.4811
aru.27.6b7-1012;2021;10/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/aru.27.6b7-1012.pdf;https://doi.org/10.17895/ices.advice.7729
bli.27.5a14;2017;07/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/bli.27.5a14.pdf;https://doi.org/10.17895/ices.pub.3054
bli.27.5a14;2018;12/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/bli.27.5a14.pdf;https://doi.org/10.17895/ices.pub.4407
bli.27.5a14;2019;13/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/bli.27.5a14.pdf;https://doi.org/10.17895/ices.advice.4812
bli.27.5a14;2021;15/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/bli.27.5a14.pdf;https://doi.org/10.17895/ices.advice.7730
bli.27.nea;2017;07/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/bli.27.nea.pdf;https://doi.org/10.17895/ices.pub.3056
