StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Blim,RecruitmentAge,FLim,FMSY,MSYBtrigger,Bpa,FAge,Fpa,Fmanagement,Bmanagement,FLength,Fcap,ConfidenceIntervalDefinition
ane.27.9a,2017,9273,1364,169052,,,,,,,,,,,,,na
anf.27.3a46,2017,9225,1365,169054,,,,,,,,,,,,,na
ank.27.8c9a,2017,8728,1570,169050,0.3,,1.7,1,0.5,,,,,,,,na
aru.27.123a4,2017,8518,1555,169057,,,,,,,,,,,,,na
aru.27.5a14,2017,8491,1311,169059,,,,,,,,,,,,,na
aru.27.5b6a,2017,8469,1556,169058,,,,,,,,,,,,,na
aru.27.6b7-1012,2017,8484,1557,169060,,,,,,,,,,,,,na
bli.27.5a14,2017,8857,1312,169061,,,,,,,,,,,,,na
bli.27.nea,2017,8828,1314,169063,,,,,,,,,,,,,na
bll.27.22-32,2017,8502,1315,169064,,,,,,,,,,,,,na
bll.27.3a47de,2017,8971,1316,169065,,,,,,,,,,,,,na
boc.27.6-8,2017,9106,1317,169066,,,,,,,,,,,,,na
bss.27.4bc7ad-h,2017,9207,1518,169069,8075,0,,,12673,12673,5-11,,,,,,na
bss.27.6a7bj,2017,8831,1517,169072,,,,,,,,,,,,,na
bss.27.8ab,2017,9205,1515,169070,,,,,,,,,,,,,na
bss.27.8c9a,2017,8705,1516,169071,,,,,,,,,,,,,na
cap.27.1-2,2017,9192,1319,169073,200000,1,,,,,,,,,,,na
cod.21.1,2017,8603,1525,169084,,,,,,,,,,,,,na
cod.21.1a-e,2017,8561,1552,169090,,,,,,,,,,,,,na
cod.2127.1f14,2017,8614,1551,169089,,,,,,,,,,,,,na
cod.27.1-2,2017,8435,1325,169079,220000,3,0.74,0.4,460000,460000,5-10,0.4,0.4,920000,,,na
cod.27.1-2coast,2017,8730,1326,169080,,2,,,,,4-7,,,59395,,,na
cod.27.21,2017,8358,1331,169086,,1,,,,,,,,,,,na
cod.27.22-24,2017,8774,1321,169075,27400,1,1.01,0.26,38400,38400,3-5,0.74,0.26,38400,,,na
cod.27.24-32,2017,8948,1322,169076,,,,,,,,,,,,,na
cod.27.47d20,2017,9251,1323,169077,107000,1,0.54,0.31,150000,150000,2-4,0.39,,,,,na
cod.27.5a,2017,8845,1329,169083,125000,3,0.74,,220000,160000,5-10,0.58,,220000,,,na
cod.27.5b1,2017,8878,1328,169082,21000,1,0.9,0.23,29226.38,29226.38,3-7,0.69,,,,,na
cod.27.6a,2017,8793,1333,169088,14000,1,0.82,0.167,20000,20000,2-5,0.59,,,,,na
cod.27.6b,2017,8794,1332,169087,,,,,,,,,,,,,na
cod.27.7a,2017,8902,1330,169085,6000,0,0.614,0.309,8616,8616,2-4,0.442,,,,,na
cod.27.7e-k,2017,8783,1324,169078,7300,1,0.807,0.353,10300,10300,2-5,0.5764,,,,,na
dab.27.22-32,2017,8809,1335,169092,,,,,,,,,,,,,na
dab.27.3a4,2017,8888,1336,169093,,,,,,,,,,,,,na
ele.2737.nea,2017,9259,1355,169095,,,,,,,,,,,,,na
fle.27.2223,2017,8964,1526,169096,,,,,,,,,,,,,na
fle.27.2425,2017,8410,1524,169097,,,,,,,,,,,,,na
fle.27.2628,2017,8414,1527,169098,,,,,,,,,,,,,na
fle.27.2729-32,2017,8406,1528,169099,,,,,,,,,,,,,na
fle.27.3a4,2017,8691,1338,169100,,,,,,,,,,,,,na
gag.27.nea,2017,9025,1339,169101,,,,,,,,,,,,,na
ghl.27.1-2,2017,8886,1341,169103,,1,,,,500000,,,,,,,na
ghl.27.561214,2017,8500,1342,169104,0.3,,1.7,1,0.5,,,,,,,,na
gur.27.3-8,2017,9107,1547,169107,,,,,,,,,,,,,na
had.27.1-2,2017,8428,1346,169110,80000,3,0.77,0.35,80000,50000,4-7,0.47,0.35,80000,,,na
had.27.46a20,2017,9256,1539,169108,94000,0,0.39,0.19,132000,132000,2-4,0.28,,,,,na
had.27.5a,2017,8972,1348,169112,45000,2,,,,59000,,,,45000,,,na
had.27.5b,2017,8880,1347,169111,16780,1,0.54,0.165,22843,22843,3-7,0.4,,,,,na
had.27.6b,2017,8908,1350,169114,6800,1,0.69,0.2,10200,10200,2-5,0.46,,,,,na
had.27.7a,2017,8925,1349,136544,2300,0,0.47,0.27,2944,2944,,0.34,,,,,na
had.27.7b-k,2017,8824,1345,169109,6700,0,1.41,0.4,10000,10000,,0.89,,,,,na
her.27.1-24a514a,2017,9244,1368,169123,2500000,2,,0.15,5000000,5000000,5-11,0.15,0.125,5000000,,,na
her.27.20-24,2017,8290,1354,169118,90000,0,0.52,0.32,110000,110000,3-6,0.45,,,,,na
