StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,FLim,Fpa,Bpa,Blim,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength
alf.27.nea,2018,9476,1628,169048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ane.27.8,2018,10308,1629,169051,NA,NA,NA,21000,NA,NA,NA,NA,1,NA
ane.27.9a,2018,12989,1630,169052,NA,NA,0.491312820794335,0.299636776182765,NA,NA,NA,NA,NA,NA
anf.27.3a46,2018,10174,1813,169054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ank.27.8c9a,2018,10303,1809,169050,NA,NA,NA,0.3,1,0.5,NA,NA,NA,NA
aru.27.5a14,2018,9503,1590,169059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bli.27.5a14,2018,9896,1591,169061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bli.27.5b67,2018,9467,1592,169062,0.17,0.12,75000,54000,0.12,75000,NA,NA,9,NA
bsf.27.nea,2018,9905,1781,169067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bss.27.4bc7ad-h,2018,9959,1839,169069,0.295,0.211,13465,9618,0.203,13465,NA,NA,0,NA
bss.27.8ab,2018,10203,1838,169070,0.172,0.123,16688,11920,0.123,16688,NA,NA,0,NA
cap.27.1-2,2018,10193,1598,169073,NA,NA,NA,2e+05,NA,NA,NA,NA,1,NA
cod.21.1,2018,9920,1819,169084,NA,NA,5983,4346,0.268,5983,NA,NA,1,NA
cod.2127.1f14,2018,9918,1820,169089,2.34,1.33,14803,10354,0.46,14803,NA,NA,1,NA
cod.27.1-2,2018,9841,1835,169079,0.74,0.4,460000,220000,0.4,460000,NA,NA,3,NA
cod.27.1-2coast,2018,9915,1604,169080,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
cod.27.21,2018,9425,1827,169086,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
cod.27.22-24,2018,9830,1600,169075,1.01,0.74,38400,27400,0.26,38400,NA,NA,1,NA
cod.27.24-32,2018,9479,1601,169076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod.27.47d20,2018,9940,1602,169077,0.54,0.39,150000,107000,0.31,150000,NA,NA,1,NA
cod.27.5b1,2018,10309,1842,169082,0.9,0.69,29226.38,21000,0.23,29226.38,NA,NA,1,NA
cod.27.7a,2018,9812,1855,169085,0.81,0.58,8616,6000,0.44,8616,NA,NA,0,NA
cod.27.7e-k,2018,9883,1603,169078,0.807,0.5764,10300,7300,0.353,10300,NA,NA,1,NA
dgs.27.nea,2018,10262,1612,169094,NA,NA,NA,NA,NA,683340,NA,NA,0,NA
ele.2737.nea,2018,10209,1621,169095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gfb.27.nea,2018,9459,1614,169102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ghl.27.561214,2018,9936,1616,169104,1.7,NA,NA,0.3,1,0.5,NA,NA,NA,NA
gug.27.3a47d,2018,9825,1617,169105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
had.27.1-2,2018,9910,1620,169110,0.77,0.47,80000,50000,0.35,80000,NA,NA,3,NA
had.27.46a20,2018,9943,1772,169108,0.39,0.28,132000,94000,0.19,132000,NA,NA,0,NA
had.27.46a20,2018,10258,1772,169108,0.39,0.28,132000,94000,0.19,132000,NA,NA,0,NA
had.27.5b,2018,10284,1843,169111,0.54,0.4,22843,16780,0.165,22843,NA,NA,1,NA
had.27.6b,2018,9953,1841,169114,0.69,0.46,10200,6800,0.2,10200,NA,NA,1,NA
had.27.7a,2018,9950,1853,169113,0.53,0.38,4160,2994,0.28,4280,NA,NA,0,NA
had.27.7b-k,2018,9868,1619,169109,1.41,0.89,10000,6700,0.4,10000,NA,NA,0,NA
her.27.1-24a514a,2018,10100,1658,169123,0.291,0.227,3184000,2500000,0.157,3184000,NA,NA,2,NA
her.27.20-24,2018,9333,1815,169118,0.45,0.35,150000,120000,0.31,150000,NA,NA,0,NA
her.27.25-2932,2018,9428,1662,169115,0.52,0.41,6e+05,430000,0.22,6e+05,NA,NA,1,NA
her.27.28,2018,9415,1659,169124,0.88,0.63,57100,40800,0.32,60000,NA,NA,1,NA
her.27.3031,2018,9779,1824,169673,0.29,0.23,283180,202272,0.21,283180,NA,NA,1,NA
her.27.3a47d,2018,9353,1816,169119,0.34,0.3,9e+05,8e+05,0.26,1400000,NA,NA,0,NA
her.27.6a7bc,2018,9327,1801,169120,0.3,0.18,410000,250000,0.16,410000,NA,NA,1,NA
her.27.irls,2018,9312,1814,169121,0.45,0.27,34000,54000,0.26,54000,NA,NA,1,NA
her.27.nirs,2018,9352,1856,169122,0.397,0.286,11831,8500,0.266,11831,NA,NA,1,NA
hke.27.3a46-8abd,2018,9763,1661,169126,0.87,0.62,45000,32000,0.28,45000,NA,NA,0,NA
hke.27.8c9a,2018,9759,1802,169127,1.05,0.75,11100,8000,0.25,11100,NA,NA,0,NA
hom.27.2a4a5b6a7a-ce-k8,2018,10106,1833,169130,0.151,0.108,911587,661917,0.108,911587,NA,NA,0,NA
hom.27.9a,2018,10057,1828,169129,0.19,0.11,181000,103000,0.11,181000,NA,NA,0,NA
jaa.27.10a2,2018,10069,1663,169131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ldb.27.7b-k8abd,2018,9942,1807,169785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ldb.27.8c9a,2018,9788,1637,169140,0.57,0.41,4600,3300,0.193,4600,NA,NA,0,NA
lez.27.4a6a,2018,9871,1635,169138,NA,NA,0.5,0.3,1,0.5,NA,NA,NA,NA
lez.27.6b,2018,10163,1636,169139,NA,NA,NA,NA,1,0.5,NA,NA,NA,NA
lin.27.5a,2018,9543,1633,169135,NA,NA,9930,7090,NA,9930,NA,NA,3,75
mac.27.nea,2018,10444,1832,169137,0.46,0.37,2500000,1990000,0.23,2500000,NA,NA,0,NA
meg.27.7b-k8abd,2018,10036,1638,169141,0.53,0.45,41800,37100,0.191,41800,NA,NA,1,NA
meg.27.8c9a,2018,10027,1639,169142,0.45,0.32,980,700,0.191,980,NA,NA,1,NA
mon.27.78abd,2018,10018,1811,195876,0.53,0.36,22278,16032,0.28,22278,NA,NA,0,NA
mon.27.8c9a,2018,9738,1810,169056,0.56,0.4,2769,1993,0.24,6283,NA,NA,0,NA
nep.fu.10,2018,9559,1640,169145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.11,2018,10270,1641,169146,NA,NA,NA,NA,10.8,540,NA,NA,NA,NA
nep.fu.12,2018,10265,1642,169147,NA,NA,NA,NA,11.7,1020,NA,NA,NA,NA
nep.fu.13,2018,10264,1643,169148,NA,NA,NA,NA,15.1,580,NA,NA,NA,NA
nep.fu.14,2018,10214,1644,169149,NA,NA,NA,NA,11,350,NA,NA,NA,NA
nep.fu.15,2018,10212,1645,169150,NA,NA,NA,NA,18.2,3000,NA,NA,NA,NA
nep.fu.16,2018,10213,1646,169151,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA
nep.fu.17,2018,10207,1647,169152,NA,NA,NA,NA,8.5,540,NA,NA,NA,NA
nep.fu.19,2018,10156,1648,169153,NA,NA,NA,NA,9.3,430,NA,NA,NA,NA
nep.fu.2021,2018,10206,1806,169154,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
nep.fu.22,2018,10205,1705,169155,NA,NA,NA,NA,12.8,990,NA,NA,NA,NA
nep.fu.2324,2018,10277,1706,169156,NA,NA,NA,NA,7.7,NA,NA,NA,0,NA
nep.fu.3-4,2018,9937,1714,169165,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA
nep.fu.30,2018,10279,1710,169160,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
nep.fu.32,2018,9653,1712,169162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.33,2018,9951,1713,169163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.34,2018,9560,1787,169164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.34,2018,10254,1787,169164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.5,2018,9610,1715,169166,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
nep.fu.6,2018,9815,1716,169167,NA,NA,NA,NA,8.12,858,NA,NA,NA,NA
nep.fu.6,2018,10251,1716,169167,NA,NA,NA,NA,8.12,858,NA,NA,NA,NA
nep.fu.7,2018,9579,1717,169168,NA,NA,NA,NA,7.5,2.767,NA,NA,NA,NA
nep.fu.7,2018,10252,1717,169168,NA,NA,NA,NA,7.5,2.767,NA,NA,NA,NA
nep.fu.8,2018,9555,1718,169169,NA,NA,NA,NA,16.3,292,NA,NA,NA,NA
nep.fu.8,2018,10253,1718,169169,NA,NA,NA,NA,16.3,292,NA,NA,NA,NA
nep.fu.9,2018,9557,1719,169170,NA,NA,NA,NA,11.8,262,NA,NA,NA,NA
nop.27.3a4,2018,10167,1791,169174,NA,NA,65000,39450,NA,NA,NA,NA,0,NA
nop.27.6a,2018,9884,1720,169175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pil.27.8abd,2018,10063,1831,194230,1.91753080070349,1.21149435525618,0.702802309545424,0.505762098396507,1.08312409244758,0.702802309545424,NA,NA,0,NA
pil.27.8c9a,2018,10062,1829,169255,0.25,0.19,446331,337448,0.12,446331,NA,NA,0,NA
ple.27.21-23,2018,9882,1649,169180,1.01,0.69,5550,4077,0.37,5550,NA,NA,1,NA
ple.27.24-32,2018,9447,1650,169181,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
ple.27.420,2018,9611,1836,169189,0.516,0.369,290203,207288,0.21,564599,NA,NA,1,NA
ple.27.420,2018,10222,1836,169189,0.516,0.369,290203,207288,0.21,564599,NA,NA,1,NA
ple.27.7a,2018,9819,1854,169188,0.4805195,0.3472183,5825,4250,0.1693694,10392,NA,NA,1,NA
ple.27.7d,2018,9622,1655,169186,0.5,0.36,25826,18448,0.25,25826,NA,NA,1,NA
ple.27.7e,2018,9948,1656,169187,1.76463138168211,1.26331564824969,0.660569693264211,0.471835495188722,0.477252578227662,0.660569693264211,NA,NA,2,NA
ple.27.7h-k,2018,10039,1652,169183,0.566380878150169,0.402702000519615,1.70901741044627,1.22986191715029,0.339049103663289,1.70901741044627,NA,NA,4,NA
pok.27.1-2,2018,9925,1695,169238,0.58,0.35,220000,136000,NA,NA,NA,NA,3,NA
pok.27.3a46,2018,9924,1694,169237,0.56,0.4,150000,107000,0.36,150000,NA,NA,3,NA
pok.27.3a46,2018,10324,1694,169237,0.62,0.45,149098,107297,0.36,149098,NA,NA,3,NA
pok.27.5b,2018,13263,1840,169239,0.7,0.52,41400,29571,0.3,41400,NA,NA,3,NA
pol.27.3a4,2018,9563,1666,169192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pol.27.67,2018,9886,1665,169191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pra.27.3a4a,2018,10172,1805,169179,1,0.68,9900,6300,0.62,9900,NA,NA,0,NA
pra.27.4a,2018,10220,1723,169178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
raj.27.67a-ce-h,2018,10096,1670,169196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
raj.27.89a,2018,10097,1669,169195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reb.27.1-2,2018,10161,1818,169262,NA,NA,315000,227000,NA,315000,NA,NA,2,NA
reb.27.14b,2018,9624,1730,169265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reb.27.5a14,2018,9628,1728,169263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reg.27.1-2,2018,9908,1817,169268,NA,NA,61600,44000,0.0525,NA,NA,NA,3,NA
reg.27.561214,2018,9605,1732,169267,0.226,0.163,220000,160000,0.097,220000,NA,NA,5,NA
rjb.27.67a-ce-k,2018,10016,1673,169202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjc.27.6,2018,9990,1678,169208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjc.27.7afg,2018,9997,1674,169204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjc.27.7e,2018,10002,1676,169206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjc.27.8,2018,10098,1675,169205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjc.27.9a,2018,10075,1677,169207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
