StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Blim,RecruitmentAge,FAge,Bpa,FMSY,RecruitmentLength,FLim,MSYBtrigger,Fmanagement,Bmanagement,Fpa,FLength,Fcap,ConfidenceIntervalDefinition
agn.27.nea,2019,13150,2335,169047,,,,,,,,,,,,,,NA
ane.27.8,2019,13285,2337,169051,21000,1,2+,,,,,,,,,,,90%
ane.27.9a,2019,12959,2377,169052,0.307430585793762,,0-3,0.504150619593585,,,,,,,,,,NA
anf.27.3a46,2019,13221,2373,169054,,,,,,,,,,,,,,95%
ank.27.78abd,2019,13000,2368,195875,,,,,1,16,,,,,,,,95%
ank.27.8c9a,2019,12974,2369,169050,0.3,,,,1,,1.7,0.5,1,0.5,,,,95%
aru.27.123a4,2019,12619,2289,169057,,,,,,,,,,,,,,na
aru.27.5a14,2019,12692,2298,169059,,,,,,,,,,,,,,na
aru.27.5b6a,2019,12704,2290,169058,,,,,,,,,,,,,,na
aru.27.6b7-1012,2019,12965,2291,169060,,,,,,,,,,,,,,95%
bli.27.5a14,2019,12918,2299,169061,,,,,,,,,,,,,,95%
bli.27.nea,2019,12896,2301,169063,,,,,,,,,,,,,,NA
bll.27.3a47de,2019,12953,2303,169065,,,,,,,,,,,,,,NA
boc.27.6-8,2019,13104,2304,169066,,,,,,,,,,,,,,95%
bsk.27.nea,2019,13041,2305,169068,,,,,,,,,,,,,,NA
bss.27.4bc7ad-h,2019,12957,2361,169069,10313,0,4-15,14439,0.1713,,0.254,14439,,,0.1815,,,95%
bss.27.8ab,2019,13045,2391,169070,11920,0,4-15,16688,0.1225,1,0.1715,16688,,,0.1225,,,2*sd
bss.27.8c9a,2019,12656,2293,169071,,,,,,,,,,,,,,na
cap.27.1-2,2019,13181,2306,169073,200000,1,,,,,,,,,,,,NA
cap.27.2a514,2019,13266,2307,169074,150000,0,,,,,,,,150000,,,,95%
cod.21.1,2019,12925,2360,169084,4346,1,4-8,5983,0.27,,,5983,,,,,,95%
cod.21.1a-e,2019,12939,2338,169090,,,,,,,,,,,,,,SD
cod.2127.1f14,2019,11552,2380,169089,10354,1,5-10,14803,0.46,,2.34,14803,,,1.33,,,na
cod.27.1-2,2019,11554,2352,169079,220000,3,5-10,460000,0.4,,0.74,460000,0.4,920000,0.4,,,95%
cod.27.1-2coast,2019,11570,2312,169080,,2,4-7,,,,,,,60000,,,,na
cod.27.21,2019,13064,2344,169086,,1,3-5,,,,,,,,,,,95%
cod.27.22-24,2019,10446,2308,169075,14500,1,3-5,21876,0.26,,1.45,21876,0.26,21876,0.99,,,na
cod.27.24-32,2019,12941,2309,169076,96550,0,4-6,108035,,,,,,,,,,90%
cod.27.47d20,2019,12948,2310,169077,107000,1,2-4,150000,0.31,,0.54,150000,,,0.39,,,95%
cod.27.47d20,2019,13211,2310,169077,107000,1,2-4,150000,0.31,,0.54,150000,,,0.39,,,95%
cod.27.5a,2019,11516,2314,169083,125000,3,5-10,160000,,,0.74,220000,,220000,0.58,,,na
cod.27.5b1,2019,13236,2382,169082,21000,1,3-7,29226.38,0.23,,0.9,29226.38,,,0.69,,,95%
