StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Blim,RecruitmentAge,FAge,Bpa,RecruitmentLength,FLim,FMSY,MSYBtrigger,Fpa,Fmanagement,Bmanagement,FLength,Fcap,ConfidenceIntervalDefinition
ane.27.8,2021,16925,2839,169051,21000,1,2+,,,,,,,,,,,90%
ane.27.9a,2021,15608,2751,169052,0.32,0,0-3,0.52,,,,,,,,,,NA
anf.27.3a46,2021,16878,2799,169054,,,,,,,,,,,,,,95%
ank.27.78abd,2021,14295,2925,195875,,,,,16,,,,,,,,,95%
ank.27.8c9a,2021,14478,2890,169050,0.3,,,,,1.7,1,0.5,,,,,,95%
aru.27.123a4,2021,14403,2742,169057,,1,,,,,,,,,,,,na
aru.27.5a14,2021,14285,2710,169059,18300,5,6-14,25437,,0.24,0.07,25440,0.07,,,,,NA
aru.27.5b6a,2021,14560,2840,169058,59729.65,5,6-14,82999,,,0.24,82999,0.33,,,,,95%
aru.27.6b7-1012,2021,14544,2743,169060,,,,,,,,,,,,,,se
bli.27.5a14,2021,14229,2766,169061,,,,,,,,,,,,,,95%
bll.27.3a47de,2021,15609,2826,169065,,,,,,,,,,,,,,NA
boc.27.6-8,2021,16799,2723,169066,,,,,,,,,,,,,,95%
bss.27.4bc7ad-h,2021,15636,2868,169069,10313,0,4-15,14439,,0.254,0.1713,14439,0.203,0.1713,14439,,,95%
bss.27.8ab,2021,15631,2865,169070,11920,0,4-15,16688,,,0.1381,16688,0.1863,0.1381,,,,2*sd
bss.27.8c9a,2021,14451,2866,169071,,,,,,,,,,,,,,NA
bwp.27.2729-32,2021,14582,2932,228587,,,,,,,,,,,,,,NA
bzq.27.2425,2021,14548,2933,233878,,,,,,,,,,,,,,NA
bzq.27.2628,2021,14549,2934,233880,,,,,,,,,,,,,,NA
cap.27.1-2,2021,16869,2891,169073,200000,1,,,,,,,,,,,,90%
cap.27.2a514,2021,16903,2705,169074,150000,0,,,,,,,,,,,,90%
cod.21.1,2021,15621,2690,169084,4346,1,4-8,5983,,,0.27,5983,,,,,,95%
cod.21.1a-e,2021,15622,2692,169090,,,,,,,,,,,,,,95%
cod.2127.1f14,2021,16710,2691,169089,11738,1,5-10,18146,,1.98,0.29,18146,0.65,,,,,95%
cod.27.1-2,2021,16825,2919,169079,220000,3,5-10,460000,,0.74,0.4,460000,0.4,0.4,460000,,,95%
cod.27.1-2.coastN,2021,14163,2938,169080,115782,2,4-7,147843,,,,,,,,,,95%
cod.27.1-2.coastN,2021,16721,2938,232325,115782,2,4-7,147843,,,,,,,,,,95%
cod.27.1-2.coastN,2021,17347,2938,232325,115782,2,4-7,147843,,,,,,,,,,95%
cod.27.2.coastS,2021,14575,2939,232326,,,,,,,,,,,,,,95%
cod.27.21,2021,14121,2820,169086,,,,,,,,,,,,,,95%
cod.27.22-24,2021,16708,2911,169075,15067,1,3-5,23492,,1.23,0.26,23492,0.689,,,,,95%
cod.27.24-32,2021,14133,2817,169076,104402,0,4-6,116061,,,,,,,,,,90%
cod.27.47d20,2021,14324,2870,169077,69841,1,2-4,97777,,0.58,0.28,97777,0.49,,,,,95%
cod.27.5a,2021,14591,2739,169083,125000,3,5-10,160000,,,,265000,,,,,,na
cod.27.5b1,2021,16886,2883,169082,21000,1,3-7,29226,,0.9,0.23,29226,0.41,,,,,0.95
cod.27.7a,2021,14433,2858,169085,,,,,,,,,,,,,,NA
cod.27.7e-k,2021,14534,2850,169078,4200,1,2-5,5800,,1.13,0.29,5800,0.77,,,,,95%
ele.2737.nea,2021,16876,2856,169095,,,,,,,,,,,,,,NA
fle.27.3a4,2021,14358,2803,169100,,,,,,,,,,,,,,sd
gag.27.nea,2021,15670,2815,169101,,,,,,,,,,,,,,NA
ghl.27.1-2,2021,14599,2877,169103,,1,,500000,,,,,,,,,,NA
ghl.27.561214,2021,15625,2814,169104,0.3,,,,,1.7,1,0.5,,,,,,95%
gur.27.3-8,2021,16781,2673,169107,,,,,,,,,,,,,,se
had.27.1-2,2021,16816,2683,169110,50000,3,4-7,80000,,0.77,0.35,80000,0.47,,,,,95%
had.27.46a20,2021,14386,2720,169108,94000,0,2-4,132000,,0.39,0.194,132000,0.194,,,,,2SE
had.27.5a,2021,14181,2804,169112,35500,2,4-7,49400,,,,49400,,,49400,,,NA
had.27.5b,2021,16885,2808,169111,16780,1,3-7,22843,,0.54,0.165,22843,0.19,,,,,0.95
had.27.6b,2021,14557,2912,169114,2474,1,2-5,3712,,1.06,0.168,3712,0.41,0.168,3712,,,NA
had.27.7a,2021,14545,2860,169113,2994,0,2-4,4160,,0.53,0.28,4280,0.441,,,,,95%
had.27.7b-k,2021,14572,2781,169109,9227,0,3-5,12822,,1.4,0.353,12822,0.71,,,,,95%
her.27.1-24a514a,2021,16732,2700,169123,2500000,2,5-12+,3184000,,0.291,0.157,3184000,0.157,0.14,3184000,,,95%
her.27.20-24,2021,14095,2842,169118,120000,0,3-6,150000,,0.45,0.31,150000,0.41,,,,,95%
her.27.25-2932,2021,14107,2920,169115,330000,1,3-6,460000,,0.59,0.21,460000,0.32,0.21,460000,,,NA
