"fishstock","AssessmentYear","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","recruitment_age","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits","AssessmentKey","StockDescription","ModifiedDate","SAGStamp","LinkToAdvice"
"ane.27.8",2021,1987,15761,21086,12038,"15942",20730,27268,15308,15308,NA,"0.528","0.694",0.902,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,1988,31012,38165,25720,"23439",28653,35991,15581,15581,NA,"0.4","0.503",0.615,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,1989,9047,12821,6424,"10618",15261,21485,10614,10614,NA,"0.383","0.54",0.776,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,1990,67630,78178,59083,"45780",53110,62559,34272,34272,NA,"0.539","0.635",0.737,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,1991,23070,30235,17572,"22227",29562,38884,19634,19634,NA,"0.466","0.613",0.815,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,1992,86937,109828,68286,"53315",71491,93042,37885,37885,NA,"0.4","0.52",0.698,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,1993,65068,80391,51284,"61042",72653,87067,40393,40393,NA,"0.452","0.541",0.644,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,1994,40971,50805,33146,"38592",47201,58364,34631,34631,NA,"0.576","0.712",0.871,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,1995,45148,59519,34303,"28541",40047,54761,30115,30115,NA,"0.532","0.727",1.02,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,1996,50483,62357,40448,"38438",46690,57572,34373,34373,NA,"0.571","0.704",0.856,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,1997,39427,51237,30653,"34114",44229,57992,22337,22337,NA,"0.353","0.462",0.6,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,1998,90945,118817,69770,"68387",90022,117010,31617,31617,NA,"0.268","0.349",0.459,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,1999,45254,63739,30537,"50891",68069,88405,27259,27259,NA,"0.294","0.382",0.511,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,2000,91152,110121,74344,"76633",92434,111165,36994,36994,NA,"0.332","0.399",0.481,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,2001,73563,87436,62255,"78234",89702,104326,40149,40149,NA,"0.385","0.447",0.513,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,2002,12897,17848,9193,"31628",38014,46507,17507,17507,NA,"0.376","0.46",0.553,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,2003,19639,24424,15560,"22148",27177,33154,10595,10595,NA,"0.316","0.386",0.473,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,2004,30203,37679,24477,"24411",30343,38576,16361,16361,NA,"0.42","0.533",0.663,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,2005,4223,6219,2762,"10257",14242,19544,1128,1128,NA,"0.058","0.079",0.11,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,2006,15772,21434,11620,"14476",19323,25625,1753,1753,NA,"0.068","0.091",0.121,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,2007,21048,28438,15163,"21993",29095,37676,141,141,NA,"0.004","0.005",0.006,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,2008,8900,12811,6108,"17737",23217,29863,0,0,NA,"0","0",0,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,2009,9766,14023,6819,"14981",19523,25264,0,0,NA,"0","0",0,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
"ane.27.8",2021,2010,47334,61640,36246,"36925",48023,61816,10317,10317,NA,"0.163","0.21",0.273,"Stock published","Advice","2+",1,"tonnes","SSB","tonnes","HR","ratio",16925,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","29/09/2023 01:05:01","ane.27.8_2021_16925_2023929010501","https://doi.org/10.17895/ices.advice.7721"
