StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Blim,RecruitmentAge,FAge,Bpa,Fpa,FMSY,MSYBtrigger,Fmanagement,FLim,Bmanagement,RecruitmentLength,FLength,Fcap,ConfidenceIntervalDefinition
alf.27.nea,2022,17301,3099,169048,,,,,,,,,,,,,,NA
ane.27.8,2022,17681,3077,169051,21000,1,2+,,,,,,,,,,,90%
ane.27.9a,2022,17358,3082,169052,0.325242760989614,0,0-3,0.533,,,,,,,,,,NA
anf.27.3a46,2022,17604,3038,169054,,,,,,,,,,,,,,95%
ank.27.78abd,2022,17280,3205,195875,12073,0,3-10,16776,0.257,0.163,16776,0.163,,,,,,95%
ank.27.78abd,2022,17653,3205,195875,12073,0,3-10,16776,0.257,0.163,16776,0.163,,,,,,95%
ank.27.8c9a,2022,17179,3134,169050,0.3,,,,,1,0.5,,1.7,,,,,95%
aru.27.5a14,2022,17345,2960,169059,18300,5,6-14,25437,0.07,0.07,25440,,0.24,,,,,0.5
aru.27.5b6a,2022,17327,3078,169058,59729.7,5,6-14,82999,0.33,0.24,82999,,,,,,,0.95
bli.27.5a14,2022,17337,3006,169061,,,,,,,,,,,,,,95%
bli.27.5b67,2022,17134,3125,169062,54000,9,9-19,75037,0.12,0.12,75037,,0.17,,,,,95%
bll.27.3a47de,2022,17052,3064,169065,,,,,,,,,,,,,,NA
bsf.27.nea,2022,17328,3046,169067,,,,,,,,,,,,,,95%
bss.27.4bc7ad-h,2022,17381,3116,169069,10313,0,4-15,14439,0.203,0.1713,14439,0.1713,0.254,14439,,,,95%
bss.27.8ab,2022,17196,3113,169070,11920,0,4-15,16688,0.1863,0.1381,16688,,,,1,,,2*sd
bwp.27.2729-32,2022,17292,3170,228587,,,,,,,,,,,,,,NA
bzq.27.2425,2022,17166,3171,233878,,,,,,,,,,,,,,NA
bzq.27.2628,2022,16981,3172,233880,,,,,,,,,,,,,,Specify "Other" here
caa.27.5a,2022,17096,3208,233882,18500,4,10-15,21000,0.2,0.2,21000,0.2,0.33,,,,,95%
cap.27.2a514,2022,17692,3202,169074,150000,0,,,,,,,,,,,,95%
cod.21.1,2022,17385,2950,169084,4346,1,4-8,5983,,0.27,5983,,,,,,,95%
cod.2127.1f14,2022,17348,2951,169089,11738,1,5-10,18146,0.65,0.29,18146,,1.98,,,,,95%
cod.27.1-2.coastN,2022,17384,3180,232325,,3,4-8,,,,,0.176,,,,,,95%
cod.27.2.coastS,2022,17129,3181,232326,,,,,,,,,,,,,,95%
cod.27.21,2022,16979,3059,169086,,,,,,,,,,,,,,95%
cod.27.22-24,2022,17001,3193,169075,15067,1,3-5,23492,0.689,0.26,23492,,1.23,,,,,95%
cod.27.24-32,2022,16985,3056,169076,108036,0,4-6,120637,,,,,,,,,,90%
cod.27.47d20,2022,16999,3184,169077,69841,1,2-4,97777,0.49,0.28,97777,,0.58,,,,,95%
cod.27.47d20,2022,17652,3184,169077,69841,1,2-4,97777,0.49,0.28,97777,,0.58,,,,,95%
cod.27.5a,2022,17336,3118,169083,125000,3,5-10,160000,,,265000,,,220000,,,,NA
cod.27.5b1,2022,17691,3127,169082,17803,1,3-7,24739,0.69,0.37,24739,,1.47,,,,,0.95
cod.27.5b2,2022,17679,3088,169081,,,,,,,,,,,,,,2*sd
cod.27.6a,2022,17399,3037,169088,14376,1,2-5,20126,0.57,0.3,20126,,0.73,,,,,95%
cod.27.7a,2022,17368,3102,169085,8303,0,2-4,11538,0.25,0.222,11538,,0.43,,,,,95%
cod.27.7a,2022,18164,3102,169085,8303,0,2-4,11538,0.25,0.222,11538,,0.43,,,,,95%
cod.27.7e-k,2022,17272,3094,169078,4200,1,2-5,5800,0.77,0.29,5800,,1.13,,,,,95%
dab.27.3a4,2022,17376,3041,169093,,,,,,,,,,,,,,95%
dab.27.3a4,2022,17760,3041,169093,,,,,,,,,,,,,,95%
dgs.27.nea,2022,17491,3187,169094,240569,0,5-30,336796,,,336796,,,,,,,2*sd
ele.2737.nea,2022,17615,3100,169095,,,,,,,,,,,,,,NA
fle.27.2223,2022,17293,3145,169096,,,,,,,,,,,,,,NA
gfb.27.nea,2022,17151,3009,169102,,,,,,,,,,,,,,NA
ghl.27.561214,2022,17326,3053,169104,0.3,,,,,1,0.5,,1.7,,,,,95%
gug.27.3a47d,2022,17073,3040,169105,,,,,,,,,,,,,,NA
had.27.46a20,2022,17356,2970,169108,136541,0,2-4,189734,0.24,0.24,189734,0.24,0.43,,,,,95%
had.27.46a20,2022,17721,2970,169108,136541,0,2-4,189734,0.24,0.24,189734,0.24,0.43,,,,,95%
had.27.5a,2022,16965,3043,169112,35500,2,4-7,49400,,,,,,49400,,,,NA
had.27.5b,2022,17688,3047,169111,16458,1,3-7,23030,0.54,0.27,23030,,1.43,,,,,95%
had.27.6b,2022,17598,3149,169114,,,,,,,,,,,,,,95%
had.27.7a,2022,17270,3104,169113,2994,0,2-4,4160,0.441,0.28,4280,,0.53,,,,,95%
had.27.7b-k,2022,17209,3020,169109,9227,0,3-5,12822,0.71,0.353,12822,,1.4,,,,,95%
her.27.1-24a514a,2022,17614,2986,169123,2500000,2,5-12+,3184000,0.157,0.157,3184000,0.14,0.291,3184000,,,,95%
her.27.20-24,2022,17172,3087,169118,120000,0,3-6,150000,0.41,0.31,150000,,0.45,,,,,95%
her.27.25-2932,2022,17346,3157,169115,330000,1,3-6,460000,0.32,0.21,460000,0.21,0.59,460000,,,,NA
her.27.28,2022,16967,3083,169124,40800,1,3-7,57100,0.38,0.32,60000,0.32,0.88,,,,,NA
her.27.3031,2022,16997,3190,169673,376571,0,3-7,533515,0.272,0.271,533515,,0.496,,,,,90%
her.27.3a47d,2022,17286,3192,169119,874198,0,2-6,956483,0.31,0.31,1232828,,0.4,,,,,95%
