StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Fpa,Bpa,Blim,FMSY,MSYBtrigger,Fmanagement,RecruitmentAge,FAge,FLim,Bmanagement,RecruitmentLength,FLength,Fcap,ConfidenceIntervalDefinition
agn.27.nea,2023,18356,3456,169047,,,,,,,,,,,,,,NA
ank.27.78abd,2023,18169,3487,195875,0.257,16776,12073,0.163,16776,0.163,0,3-10,,,,,,95%
ank.27.8c9a,2023,17966,3354,169050,,,0.3,1,0.5,,,,1.7,,,,,95%
aru.27.123a4,2023,18198,3328,169057,,,,,,,,,,,,,,NA
aru.27.5a14,2023,18200,3390,169059,0.07,25437,18300,0.07,25437,,5,6-14,0.24,25437,,,,90%
aru.27.5b6a,2023,18020,3299,169058,0.33,82999,59729.7,0.24,82999,,5,6-14,,,,,,0.95
aru.27.6b7-1012,2023,18065,3329,169060,,,,,,,,,,,,,,se
bli.27.nea,2023,17995,3255,169063,,,,,,,,,,,,,,NA
bll.27.22-32,2023,18205,3351,169064,,,,,,,,,,,,,,NA
bll.27.3a47de,2023,18206,3285,169065,,,,1,,,,,,,,,,95%
boc.27.6-8,2023,18391,3403,169066,,,,,,,,,,,,,,95%
bsk.27.nea,2023,18296,3341,169068,,,,,,,,,,,,,,NA
bss.27.4bc7ad-h,2023,18142,3336,169069,0.203,14439,10313,0.1713,14439,0.1713,0,4-15,0.254,14439,,,,95%
bss.27.6a7bj,2023,18066,3335,169072,,,,,,,,,,,,,,NA
bss.27.8ab,2023,18067,3333,169070,0.1863,16688,11920,0.1381,16688,,0,4-15,,,1,,,2*sd
bss.27.8c9a,2023,17992,3334,169071,,,,,,,,,,,,,,NA
caa.27.5a,2023,18062,3467,233882,0.2,21000,18500,0.2,21000,0.2,4,10-15,0.33,21000,,,,95%
cod.27.1-2.coastN,2023,17773,3443,232325,,,,,,0.176,3,4-8,,,,,,95%
cod.27.21,2023,18297,3280,169086,,,,,,,,,,,,,,95%
cod.27.22-24,2023,17840,3452,169075,,,0.661928358767146,,1.0320582069528,,1,1-7,,,,,,95%
cod.27.24-32,2023,17782,3277,169076,,122114,108942,,,,0,4-6,,,,,,90%
cod.27.46a7d20,2023,18282,3488,255566,0.442,15098,10374,0.197,15098,,1,2-4,0.502,,,,,95%
cod.27.46a7d20,2023,18283,3488,255566,0.689,28570,21964,0.225,28570,,1,2-4,0.839,,,,,95%
cod.27.46a7d20,2023,18284,3488,255566,0.616,19786,13504,0.159,19786,,1,2-4,0.852,,,,,95%
cod.27.46a7d20,2023,18396,3488,255566,,,,,,,1,2-4,,,,,,95%
cod.27.5a,2023,17931,3338,169083,,160000,125000,,265000,,3,5-10,,220000,,,,90%
cod.27.6b,2023,18045,3257,169087,,,,,,,,,,,,,,NA
cod.27.7a,2023,18471,3322,169085,0.16,17096,12303,0.162,17096,,0,2-4,0.31,,,,,95%
cod.27.7e-k,2023,18223,3314,169078,0.77,5800,4200,0.29,5800,,1,2-5,1.13,,,,,95%
cyo.27.nea,2023,18292,3367,169091,,,,,,,,,,,,,,NA
