"","AssessmentYear","AssessmentKey","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","recruitment_age","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits","StockDescription","ModifiedDate","SAGStamp","LinkToAdvice","StockKeyLabel","StockDatabaseID","StockKey","FLim","Fpa","Bpa","Blim","FMSY","MSYBtrigger","Bmanagement","RecruitmentAge","FAge","Fmanagement","Fcap","confidenceIntervalDefinition"
"1",2023,17718,1983,285000075,404690458,200709063,307520,452254,665108,382629,NA,NA,0.478,0.596,0.744,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"2",2023,17718,1984,75526942,108094090,52771793,136696,194269,276092,498671,NA,NA,0.54,0.674,0.84,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"3",2023,17718,1985,518266424,723794791,371099778,307364,431059,604534,460057,NA,NA,0.577,0.72,0.898,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"4",2023,17718,1986,75376039,107979318,52616996,202400,265402,348014,382844,NA,NA,0.389,0.484,0.602,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"5",2023,17718,1987,49081856,72043445,33438554,708828,977741,1348673,373021,NA,NA,0.302,0.377,0.471,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"6",2023,17718,1988,201037095,284748295,141935577,420971,577810,793081,422805,NA,NA,0.421,0.523,0.651,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"7",2023,17718,1989,90966330,129761168,63770028,122810,157157,201109,446129,NA,NA,0.699,0.809,0.937,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"8",2023,17718,1990,136386047,191985605,96888273,181417,240626,319160,306302,NA,NA,0.698,0.808,0.936,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"9",2023,17718,1991,160210639,225968227,113588752,244667,321258,421826,332204,NA,NA,0.493,0.575,0.67,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"10",2023,17718,1992,37806817,54168752,26387085,219475,287219,375873,558602,NA,NA,0.723,0.837,0.969,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"11",2023,17718,1993,159252253,224188271,113124920,190487,254995,341349,144389,NA,NA,0.319,0.37,0.429,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"12",2023,17718,1994,225538177,317069451,160430054,135580,176840,230657,193241,NA,NA,0.258,0.299,0.346,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"13",2023,17718,1995,56288454,80436833,39389792,307218,402721,527912,400759,NA,NA,0.484,0.561,0.649,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"14",2023,17718,1996,410136258,569945075,295136774,281308,366224,476772,291709,NA,NA,0.451,0.523,0.607,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"15",2023,17718,1997,62146186,88673297,43554808,185526,234216,295684,426414,NA,NA,0.442,0.515,0.602,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"16",2023,17718,1998,116803080,166748251,81817707,392772,527551,708578,372604,NA,NA,0.546,0.632,0.732,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"17",2023,17718,1999,154545638,219027615,109047227,168565,223463,296239,425478,NA,NA,0.772,0.906,1.064,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"18",2023,17718,2000,244322590,349634004,170731472,111000,140505,177853,374724,NA,NA,0.624,0.732,0.86,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"19",2023,17718,2001,422626767,593537819,300930081,122892,158419,204217,540248,NA,NA,0.995,1.181,1.401,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"20",2023,17718,2002,28064051,40376568,19506139,117843,154045,201368,610161,NA,NA,0.687,0.807,0.948,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"21",2023,17718,2003,163774330,230762939,116231970,182694,247212,334514,178642,NA,NA,0.594,0.697,0.818,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"22",2023,17718,2004,68544930,95348962,49275916,72376,96086,127563,215352,NA,NA,0.602,0.706,0.829,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"23",2023,17718,2005,157825413,219556423,113450842,89807,119731,159625,126261,NA,NA,0.81,0.955,1.125,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"24",2023,17718,2006,76745092,104784466,56208801,59979,75207,94302,247510,NA,NA,0.992,1.17,1.38,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"25",2023,17718,2007,182634966,247640985,134693096,65893,88965,120116,110395,NA,NA,0.357,0.421,0.496,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"26",2023,17718,2008,74850249,103581804,54088263,98485,123624,155180,236069,NA,NA,0.678,0.799,0.942,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"27",2023,17718,2009,549214701,722198978,417664380,104800,134726,173198,309712,NA,NA,0.851,1.004,1.185,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"28",2023,17718,2010,34865209,47168505,25771068,99802,122884,151306,300896,NA,NA,0.479,0.556,0.645,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"29",2023,17718,2011,38647784,52697767,28343729,332797,437574,575338,320241,NA,NA,0.532,0.616,0.715,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"30",2023,17718,2012,98149266,131268423,73386106,110740,147119,195450,45954,NA,NA,0.099,0.115,0.133,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"31",2023,17718,2013,56175990,75199833,41964746,63988,79858,99663,214787,NA,NA,0.622,0.721,0.835,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"32",2023,17718,2014,192768395,259223138,143350067,46362,59814,77170,99059,NA,NA,0.37,0.429,0.497,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"33",2023,17718,2015,34414894,46352947,25551448,62171,77653,96989,162861,NA,NA,0.348,0.404,0.468,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"34",2023,17718,2016,254802680,331062970,196108933,154704,203414,267461,15407,NA,NA,0.024,0.028,0.033,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"35",2023,17718,2017,19230344,25400241,14559158,112799,140225,174318,242069,NA,NA,0.473,0.548,0.635,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"36",2023,17718,2018,28688302,38218861,21534359,145740,185350,235724,131898,NA,NA,0.49,0.569,0.661,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"37",2023,17718,2019,81327925,110505933,59854084,51703,66304,85027,86723,NA,NA,0.481,0.559,0.65,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"38",2023,17718,2020,29532444,42688153,20431084,43582,55770,71368,108944,NA,NA,0.453,0.525,0.609,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"39",2023,17718,2021,58351755,96537070,35270672,76590,102744,137831,17082,NA,NA,0.073,0.084,0.098,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"40",2023,17718,2022,84056521,197062376,35854123,105031,135266,174205,5156,NA,NA,0.022,0.025,0.029,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
"41",2023,17718,2023,101314109,NA,NA,106275,146825,202848,NA,NA,NA,NA,NA,NA,"Stock published","Advice","1-2",0,"tonnes","SSB","tonnes","F",NA,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","28/06/2023 01:05:01","san.sa.1r_2023_17718_2023628010501","https://doi.org/10.17895/ices.advice.21815148.v2","san.sa.1r",3473,169246,NA,NA,145000,110000,NA,NA,NA,0,"1-2",NA,0.49,"90%"
