Year,Recruitment,RecruitmentAge,UnitOfRecruitment,StockSize,Bpa,Blim,MSYBtrigger,StockSizeDescription,StockSizeUnits,FishingPressure,Flim,Fpa,FMSY,FAge,FishingPressureDescription,AssessmentYear,Purpose,AssessmentComponent
2005, 72243,1,thousands,15194,40823,29378,40823,SSB,tonnes,0.733,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2006,276519,1,thousands,17587,40823,29378,40823,SSB,tonnes,0.664,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2007, 88303,1,thousands,21646,40823,29378,40823,SSB,tonnes,0.622,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2008,100705,1,thousands,33575,40823,29378,40823,SSB,tonnes,0.666,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2009,179004,1,thousands,26489,40823,29378,40823,SSB,tonnes,0.615,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2010,218282,1,thousands,34448,40823,29378,40823,SSB,tonnes,0.563,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2011, 98277,1,thousands,42145,40823,29378,40823,SSB,tonnes,0.494,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2012,151571,1,thousands,54149,40823,29378,40823,SSB,tonnes,0.491,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2013,203996,1,thousands,64351,40823,29378,40823,SSB,tonnes,0.470,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2014,254748,1,thousands,49063,40823,29378,40823,SSB,tonnes,0.420,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2015,154994,1,thousands,64905,40823,29378,40823,SSB,tonnes,0.420,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2016,102382,1,thousands,68337,40823,29378,40823,SSB,tonnes,0.469,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2017,278245,1,thousands,74980,40823,29378,40823,SSB,tonnes,0.572,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2018, 64731,1,thousands,50610,40823,29378,40823,SSB,tonnes,0.659,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2019,140963,1,thousands,39059,40823,29378,40823,SSB,tonnes,0.571,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2020,185038,1,thousands,33528,40823,29378,40823,SSB,tonnes,0.444,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2021,133990,1,thousands,37053,40823,29378,40823,SSB,tonnes,0.349,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2022,159469,1,thousands,59638,40823,29378,40823,SSB,tonnes,0.318,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2023,100437,1,thousands,60982,40823,29378,40823,SSB,tonnes,0.320,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2024, 54778,1,thousands,54257,40823,29378,40823,SSB,tonnes,   NA,0.666,0.543,0.196,2-4,F,2024,Advice,Northwestern Substock
2005, 64152,1,thousands,14431,28570,21964,28570,SSB,tonnes,0.760,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2006,237403,1,thousands,16530,28570,21964,28570,SSB,tonnes,0.680,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2007, 74465,1,thousands,20351,28570,21964,28570,SSB,tonnes,0.640,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2008, 82109,1,thousands,31758,28570,21964,28570,SSB,tonnes,0.700,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2009,152253,1,thousands,25915,28570,21964,28570,SSB,tonnes,0.650,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2010,184285,1,thousands,32888,28570,21964,28570,SSB,tonnes,0.590,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2011, 81610,1,thousands,40025,28570,21964,28570,SSB,tonnes,0.520,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2012,120042,1,thousands,51106,28570,21964,28570,SSB,tonnes,0.530,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2013,164559,1,thousands,61854,28570,21964,28570,SSB,tonnes,0.510,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2014,211661,1,thousands,47987,28570,21964,28570,SSB,tonnes,0.450,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2015,132457,1,thousands,62468,28570,21964,28570,SSB,tonnes,0.450,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2016, 88016,1,thousands,67134,28570,21964,28570,SSB,tonnes,0.510,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2017,231954,1,thousands,73718,28570,21964,28570,SSB,tonnes,0.630,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2018, 51455,1,thousands,49681,28570,21964,28570,SSB,tonnes,0.720,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2019,111278,1,thousands,38021,28570,21964,28570,SSB,tonnes,0.620,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2020,147350,1,thousands,33013,28570,21964,28570,SSB,tonnes,0.470,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2021,107191,1,thousands,35906,28570,21964,28570,SSB,tonnes,0.380,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2022,122179,1,thousands,54471,28570,21964,28570,SSB,tonnes,0.340,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
2023, 88832,1,thousands,61792,28570,21964,28570,SSB,tonnes,   NA,0.839,0.689,0.225,2-4,F,2023,Advice,Northwestern Substock
