AssessmentKey,Purpose,Year,StockDescription,ICES_Areas,SpeciesName,Report,Low_Recruitment,Recruitment,High_Recruitment,UnitOfRecruitment,RecruitmentDescription,Low_TBiomass,TBiomass,High_TBiomass,Low_StockSize,StockSize,High_StockSize,StockSizeDescription,StockSizeUnits,CatchesLandingsUnits,Landings,Discards,Low_FishingPressure,FishingPressure,High_FishingPressure,FishingPressureDescription,Published,StockKeyLabel,StockDatabaseID,StockKey,AssessmentYear,Fpa,Bpa,Blim,FMSY,MSYBtrigger,RecruitmentAge,FAge,ConfidenceIntervalDefinition
21016,Advice,1980,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 8406,17497,36420,thousands,Recruitment,13556,20016,29554, 7811,10197,13314,SSB,tonnes,tonnes, 7243,  NA,0.745,0.908,1.108,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1981,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 3939, 7932,15975,thousands,Recruitment,14754,20680,28987, 9925,13027,17098,SSB,tonnes,tonnes,10597,  NA,0.747,0.889,1.058,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1982,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 1920, 3840, 7682,thousands,Recruitment,13381,17094,21836,10513,13199,16572,SSB,tonnes,tonnes, 8766,  NA,0.716,0.844,0.996,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1983,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 4304, 8464,16644,thousands,Recruitment,11766,14796,18606, 8674,10486,12676,SSB,tonnes,tonnes, 9641,  NA,0.718,0.844,0.994,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1984,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 4763, 9336,18303,thousands,Recruitment,10683,14364,19315, 7009, 8640,10650,SSB,tonnes,tonnes, 6631,  NA,0.638,0.778,0.949,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1985,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 4177, 8126,15808,thousands,Recruitment,11743,15579,20667, 7918, 9852,12257,SSB,tonnes,tonnes, 8317,  NA,0.646,0.779,0.939,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1986,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 4650, 9168,18073,thousands,Recruitment,12700,16546,21556, 8691,10739,13270,SSB,tonnes,tonnes,10475,  NA,0.696,0.815,0.955,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1987,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1,14559,28187,54572,thousands,Recruitment,16410,23538,33762, 8581,10558,12992,SSB,tonnes,tonnes,10228,  NA,0.710,0.831,0.972,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1988,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 7245,14061,27289,thousands,Recruitment,20357,29218,41935,12113,16366,22111,SSB,tonnes,tonnes,17191,  NA,0.668,0.803,0.966,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1989,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 2409, 4720, 9250,thousands,Recruitment,21209,27765,36349,16516,21434,27817,SSB,tonnes,tonnes,19809,  NA,0.712,0.839,0.989,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1990,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 3182, 6335,12615,thousands,Recruitment,16733,20886,26070,13608,16948,21110,SSB,tonnes,tonnes,12749,  NA,0.775,0.902,1.050,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1991,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 8395,16733,33350,thousands,Recruitment,13854,18719,25292, 9053,10881,13079,SSB,tonnes,tonnes, 9336,  NA,0.808,0.958,1.136,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1992,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 9592,18830,36965,thousands,Recruitment,14954,21707,31508, 8087,10555,13775,SSB,tonnes,tonnes, 9747,  NA,0.822,0.961,1.123,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
